GO,AncestorGroup,AncestorGroupIndex,Color
GO:0000492,cellular component organization or biogenesis,1344.0,239.0
GO:0000712,"reproductive process,nitrogen compound metabolic process,cellular metabolic process,primary metabolic process,organic substance metabolic process,cell cycle,chromosome segregation,cell cycle process,cellular component organization or biogenesis,meiotic cell cycle,meiotic cell cycle process",4162.0,792.0
GO:0000722,"nitrogen compound metabolic process,cellular metabolic process,primary metabolic process,organic substance metabolic process,cellular component organization or biogenesis",3189.0,594.0
GO:0000723,"nitrogen compound metabolic process,cellular metabolic process,primary metabolic process,organic substance metabolic process,cellular component organization or biogenesis",3189.0,594.0
GO:0000724,"nitrogen compound metabolic process,cellular metabolic process,primary metabolic process,organic substance metabolic process,cellular response to stimulus,response to stress",3194.0,596.0
GO:0000727,"nitrogen compound metabolic process,cellular metabolic process,primary metabolic process,organic substance metabolic process,cellular response to stimulus,response to stress",3194.0,596.0
GO:0000731,"nitrogen compound metabolic process,biosynthetic process,cellular metabolic process,primary metabolic process,organic substance metabolic process,cellular response to stimulus,response to stress",2867.0,541.0
GO:0000737,"nitrogen compound metabolic process,catabolic process,cellular metabolic process,primary metabolic process,organic substance metabolic process",3077.0,566.0
GO:0000902,"anatomical structure morphogenesis,anatomical structure development",79.0,22.0
GO:0000956,"nitrogen compound metabolic process,catabolic process,negative regulation of metabolic process,regulation of metabolic process,cellular metabolic process,primary metabolic process,organic substance metabolic process,negative regulation of biological process,regulation of biological process",3117.0,576.0
GO:0001501,"multicellular organism development,anatomical structure development",2451.0,469.0
GO:0001502,"cell aggregation,multicellular organism development,anatomical structure morphogenesis,anatomical structure development",556.0,94.0
GO:0001503,907,907.0,907.0
GO:0001504,"establishment of localization,regulation of biological quality",1685.0,349.0
GO:0001508,regulation of biological quality,3607.0,707.0
GO:0001510,"nitrogen compound metabolic process,methylation,cellular metabolic process,primary metabolic process,organic substance metabolic process",3219.0,604.0
GO:0001516,"biosynthetic process,cellular metabolic process,primary metabolic process,small molecule metabolic process,organic substance metabolic process",188.0,32.0
GO:0001523,"cellular metabolic process,primary metabolic process,organic substance metabolic process",1558.0,313.0
GO:0001541,"reproductive process,developmental process involved in reproduction,multicellular organism development,anatomical structure development",3996.0,782.0
GO:0001556,"sexual reproduction,reproductive process,multicellular organism reproduction,cellular process involved in reproduction in multicellular organism,cellular developmental process,developmental process involved in reproduction,multi-organism reproductive process,multicellular organismal reproductive process,developmental maturation,anatomical structure development",4418.0,822.0
GO:0001558,"cell growth,regulation of cellular process,cellular component organization or biogenesis,regulation of growth,regulation of biological process",1247.0,221.0
GO:0001561,"catabolic process,cellular metabolic process,primary metabolic process,small molecule metabolic process,organic substance metabolic process",360.0,60.0
GO:0001568,"multicellular organism development,anatomical structure development",2451.0,469.0
GO:0001569,"morphogenesis of a branching structure,multicellular organism development,anatomical structure morphogenesis,anatomical structure formation involved in morphogenesis,anatomical structure development",2204.0,428.0
GO:0001570,"cellular developmental process,multicellular organism development,anatomical structure morphogenesis,anatomical structure development",1406.0,265.0
GO:0001574,"nitrogen compound metabolic process,biosynthetic process,cellular metabolic process,primary metabolic process,organic substance metabolic process",2860.0,539.0
GO:0001578,"microtubule-based process,cellular component organization or biogenesis",2149.0,421.0
GO:0001580,"system process,response to chemical,detection of stimulus",4677.0,853.0
GO:0001649,"cellular developmental process,ossification",1421.0,268.0
GO:0001654,"multicellular organism development,anatomical structure development",2451.0,469.0
GO:0001655,"multicellular organism development,anatomical structure development",2451.0,469.0
GO:0001656,"multicellular organism development,anatomical structure development",2451.0,469.0
GO:0001657,"multicellular organism development,anatomical structure development",2451.0,469.0
GO:0001658,"morphogenesis of a branching structure,multicellular organism development,anatomical structure morphogenesis,anatomical structure development",2203.0,427.0
GO:0001659,"multicellular organismal homeostasis,regulation of biological quality",2639.0,492.0
GO:0001662,"behavioral defense response,multicellular organismal response to stress,response to stress",158.0,27.0
GO:0001666,"response to stress,response to abiotic stimulus",4234.0,806.0
GO:0001675,"sexual reproduction,reproductive process,multicellular organism reproduction,cellular process involved in reproduction in multicellular organism,cellular developmental process,cellular component organization or biogenesis,developmental process involved in reproduction,multi-organism reproductive process,multicellular organismal reproductive process,anatomical structure morphogenesis,anatomical structure formation involved in morphogenesis,anatomical structure development",4399.0,820.0
GO:0001676,"cellular metabolic process,primary metabolic process,small molecule metabolic process,organic substance metabolic process",1564.0,314.0
GO:0001678,"cellular homeostasis,regulation of biological quality",1481.0,289.0
GO:0001682,"nitrogen compound metabolic process,cellular metabolic process,primary metabolic process,organic substance metabolic process",3181.0,592.0
GO:0001701,"multicellular organism development,anatomical structure development",2451.0,469.0
GO:0001702,"multicellular organism development,anatomical structure morphogenesis,anatomical structure development",2464.0,471.0
GO:0001706,"multicellular organism development,anatomical structure morphogenesis,anatomical structure formation involved in morphogenesis,anatomical structure development",2471.0,472.0
GO:0001707,"multicellular organism development,anatomical structure morphogenesis,anatomical structure formation involved in morphogenesis,anatomical structure development",2471.0,472.0
GO:0001708,cellular developmental process,1369.0,250.0
GO:0001709,cellular developmental process,1369.0,250.0
GO:0001731,"nitrogen compound metabolic process,biosynthetic process,cellular metabolic process,primary metabolic process,organic substance metabolic process,cellular component organization or biogenesis",2865.0,540.0
GO:0001732,"nitrogen compound metabolic process,biosynthetic process,cellular metabolic process,primary metabolic process,organic substance metabolic process,cellular component organization or biogenesis",2865.0,540.0
GO:0001736,"anatomical structure morphogenesis,anatomical structure development",79.0,22.0
GO:0001755,"movement of cell or subcellular component,cellular developmental process,localization of cell,multicellular organism development,anatomical structure development,cell motility",2302.0,440.0
GO:0001756,"multicellular organism development,pattern specification process,anatomical structure morphogenesis,anatomical structure formation involved in morphogenesis,anatomical structure development",2530.0,481.0
GO:0001764,"movement of cell or subcellular component,cellular developmental process,localization of cell,multicellular organism development,anatomical structure development,cell motility",2302.0,440.0
GO:0001771,"leukocyte activation,cell activation,cell recognition",2069.0,403.0
GO:0001774,"leukocyte activation,cell activation",2066.0,401.0
GO:0001775,907,907.0,907.0
GO:0001778,"cellular component organization or biogenesis,response to stress",1366.0,249.0
GO:0001779,"immune system development,leukocyte activation,cell activation,cellular developmental process,multicellular organism development,anatomical structure development",2009.0,388.0
GO:0001782,"leukocyte homeostasis,regulation of biological quality",2084.0,404.0
GO:0001817,"regulation of metabolic process,organic substance metabolic process,cytokine production,regulation of multicellular organismal process,regulation of biological process",3859.0,768.0
GO:0001818,"negative regulation of metabolic process,regulation of metabolic process,organic substance metabolic process,cytokine production,regulation of multicellular organismal process,negative regulation of multicellular organismal process,negative regulation of biological process,regulation of biological process",2800.0,527.0
GO:0001819,"positive regulation of metabolic process,regulation of metabolic process,organic substance metabolic process,cytokine production,regulation of multicellular organismal process,positive regulation of multicellular organismal process,positive regulation of biological process,regulation of biological process",3545.0,696.0
GO:0001822,"multicellular organism development,anatomical structure development",2451.0,469.0
GO:0001823,"multicellular organism development,anatomical structure development",2451.0,469.0
GO:0001824,"multicellular organism development,anatomical structure development",2451.0,469.0
GO:0001825,"multicellular organism development,anatomical structure morphogenesis,anatomical structure formation involved in morphogenesis,anatomical structure development",2471.0,472.0
GO:0001829,"cellular developmental process,multicellular organism development,anatomical structure morphogenesis,anatomical structure formation involved in morphogenesis,anatomical structure development",1408.0,266.0
GO:0001833,"cell population proliferation,multicellular organism development,developmental growth,anatomical structure development",1295.0,226.0
GO:0001835,"multicellular organism development,organism emergence from protective structure,anatomical structure development",2520.0,478.0
GO:0001836,"cell communication,signal transduction,cell death,regulation of cellular process,cellular response to stimulus,cellular component organization or biogenesis,regulation of biological process",745.0,130.0
GO:0001837,"cellular developmental process,multicellular organism development,anatomical structure development",1405.0,264.0
GO:0001843,"multicellular organism development,anatomical structure morphogenesis,anatomical structure formation involved in morphogenesis,anatomical structure development",2471.0,472.0
GO:0001867,"immune effector process,activation of immune response,regulation of immune system process,positive regulation of immune system process,immune response,response to other organism,positive regulation of response to stimulus,positive regulation of biological process,regulation of response to stimulus,response to stress,response to external stimulus,response to biotic stimulus,regulation of biological process",1789.0,363.0
GO:0001881,"cellular metabolic process,organic substance metabolic process",1538.0,308.0
GO:0001886,"cellular developmental process,anatomical structure morphogenesis,anatomical structure development",1374.0,253.0
GO:0001889,"multicellular organism development,anatomical structure development",2451.0,469.0
GO:0001890,"reproductive process,developmental process involved in reproduction,multicellular organism development,anatomical structure development",3996.0,782.0
GO:0001892,"reproductive process,developmental process involved in reproduction,multicellular organism development,anatomical structure development",3996.0,782.0
GO:0001894,"multicellular organismal homeostasis,regulation of biological quality",2639.0,492.0
GO:0001895,"multicellular organismal homeostasis,regulation of biological quality",2639.0,492.0
GO:0001916,"immune effector process,regulation of immune system process,positive regulation of immune system process,immune response,cell killing,positive regulation of cellular process,regulation of cellular process,positive regulation of response to stimulus,positive regulation of biological process,regulation of response to stimulus,regulation of biological process",1919.0,373.0
GO:0001921,"positive regulation of metabolic process,regulation of metabolic process,cellular metabolic process,organic substance metabolic process,positive regulation of cellular process,regulation of cellular process,regulation of signaling,positive regulation of signaling,positive regulation of biological process,regulation of biological process",3527.0,688.0
GO:0001932,"nitrogen compound metabolic process,regulation of metabolic process,cellular metabolic process,primary metabolic process,organic substance metabolic process,regulation of cellular process,regulation of biological process",3336.0,641.0
GO:0001933,"nitrogen compound metabolic process,negative regulation of metabolic process,regulation of metabolic process,cellular metabolic process,primary metabolic process,organic substance metabolic process,negative regulation of cellular process,regulation of cellular process,negative regulation of biological process,regulation of biological process",3250.0,616.0
GO:0001935,cell population proliferation,1280.0,223.0
GO:0001937,"cell population proliferation,negative regulation of cellular process,regulation of cellular process,negative regulation of biological process,regulation of biological process",1310.0,230.0
GO:0001938,"cell population proliferation,positive regulation of cellular process,regulation of cellular process,positive regulation of biological process,regulation of biological process",1324.0,234.0
GO:0001942,"multicellular organism development,molting cycle process,molting cycle,anatomical structure development",2491.0,475.0
GO:0001944,"multicellular organism development,anatomical structure development",2451.0,469.0
GO:0001946,"multicellular organism development,anatomical structure morphogenesis,anatomical structure formation involved in morphogenesis,anatomical structure development",2471.0,472.0
GO:0001947,"multicellular organism development,pattern specification process,anatomical structure morphogenesis,anatomical structure development",2526.0,480.0
GO:0001952,"cell adhesion,regulation of cellular process,regulation of biological process",550.0,93.0
GO:0001953,"cell adhesion,negative regulation of cellular process,regulation of cellular process,negative regulation of biological process,regulation of biological process",534.0,88.0
GO:0001954,"cell adhesion,positive regulation of cellular process,regulation of cellular process,positive regulation of biological process,regulation of biological process",541.0,91.0
GO:0001958,"ossification,multicellular organism development,anatomical structure morphogenesis,anatomical structure development",3381.0,651.0
GO:0001960,"cell communication,signal transduction,negative regulation of cellular process,regulation of cellular process,cellular response to stimulus,regulation of signaling,negative regulation of signaling,negative regulation of response to stimulus,negative regulation of biological process,regulation of response to stimulus,response to chemical,regulation of biological process",843.0,139.0
GO:0001961,"cell communication,signal transduction,positive regulation of cellular process,regulation of cellular process,cellular response to stimulus,regulation of signaling,positive regulation of signaling,positive regulation of response to stimulus,positive regulation of biological process,regulation of response to stimulus,response to chemical,regulation of biological process",888.0,147.0
GO:0001963,"cell communication,cell-cell signaling",568.0,95.0
GO:0001964,"system process,response to external stimulus",4679.0,854.0
GO:0001967,feeding behavior,1717.0,355.0
GO:0001974,tissue remodeling,4690.0,858.0
GO:0001975,response to chemical,4205.0,795.0
GO:0002003,"nitrogen compound metabolic process,hormone metabolic process,cellular metabolic process,primary metabolic process,organic substance metabolic process,system process,regulation of biological quality",3216.0,603.0
GO:0002009,"anatomical structure morphogenesis,anatomical structure development",79.0,22.0
GO:0002011,"anatomical structure morphogenesis,anatomical structure development",79.0,22.0
GO:0002024,"adaptive thermogenesis,response to dietary excess,response to external stimulus",59.0,18.0
GO:0002026,"system process,regulation of multicellular organismal process,regulation of biological process,regulation of biological quality",4654.0,850.0
GO:0002027,"system process,regulation of multicellular organismal process,regulation of biological process,regulation of biological quality",4654.0,850.0
GO:0002028,"regulation of localization,establishment of localization,regulation of biological process",3804.0,756.0
GO:0002031,"cellular metabolic process,organic substance metabolic process,cell communication,signal transduction,vesicle-mediated transport,negative regulation of cellular process,regulation of cellular process,cellular response to stimulus,regulation of signaling,negative regulation of signaling,negative regulation of response to stimulus,negative regulation of biological process,regulation of response to stimulus,establishment of localization,regulation of biological process",1542.0,309.0
GO:0002040,"multicellular organism development,anatomical structure morphogenesis,anatomical structure formation involved in morphogenesis,anatomical structure development",2471.0,472.0
GO:0002042,"movement of cell or subcellular component,localization of cell,multicellular organism development,tissue migration,anatomical structure morphogenesis,anatomical structure formation involved in morphogenesis,anatomical structure development,cell motility",2341.0,448.0
GO:0002052,"cell population proliferation,positive regulation of cellular process,cellular developmental process,regulation of cellular process,multicellular organism development,regulation of multicellular organismal process,positive regulation of multicellular organismal process,anatomical structure development,regulation of developmental process,positive regulation of developmental process,positive regulation of biological process,regulation of biological process",1313.0,231.0
GO:0002053,"cell population proliferation,positive regulation of cellular process,regulation of cellular process,positive regulation of biological process,regulation of biological process",1324.0,234.0
GO:0002062,"cellular developmental process,multicellular organism development,anatomical structure development",1405.0,264.0
GO:0002063,"cellular developmental process,multicellular organism development,anatomical structure development",1405.0,264.0
GO:0002064,"cellular developmental process,anatomical structure development",1371.0,252.0
GO:0002076,"cellular developmental process,ossification,anatomical structure development",1422.0,269.0
GO:0002082,"regulation of metabolic process,cellular metabolic process,ATP metabolic process,regulation of cellular process,regulation of biological process",3828.0,760.0
GO:0002084,"nitrogen compound metabolic process,catabolic process,cellular metabolic process,primary metabolic process,organic substance metabolic process",3077.0,566.0
GO:0002087,"system process,respiratory gaseous exchange by respiratory system,regulation of multicellular organismal process,regulation of biological process",4675.0,852.0
GO:0002088,"multicellular organism development,anatomical structure development",2451.0,469.0
GO:0002089,"multicellular organism development,anatomical structure morphogenesis,anatomical structure development",2464.0,471.0
GO:0002091,"negative regulation of metabolic process,regulation of metabolic process,cellular metabolic process,organic substance metabolic process,vesicle-mediated transport,negative regulation of cellular process,regulation of cellular process,cellular component organization or biogenesis,negative regulation of transport,regulation of localization,negative regulation of biological process,establishment of localization,regulation of biological process",2783.0,523.0
GO:0002092,"positive regulation of metabolic process,regulation of metabolic process,cellular metabolic process,organic substance metabolic process,vesicle-mediated transport,positive regulation of cellular process,regulation of cellular process,cellular component organization or biogenesis,positive regulation of transport,regulation of localization,positive regulation of biological process,establishment of localization,regulation of biological process",3528.0,689.0
GO:0002098,"nitrogen compound metabolic process,cellular metabolic process,primary metabolic process,organic substance metabolic process",3181.0,592.0
GO:0002115,establishment of localization,1683.0,348.0
GO:0002181,"nitrogen compound metabolic process,biosynthetic process,cellular metabolic process,primary metabolic process,organic substance metabolic process",2860.0,539.0
GO:0002218,"activation of immune response,regulation of immune system process,positive regulation of immune system process,immune response,response to other organism,positive regulation of response to stimulus,positive regulation of biological process,regulation of response to stimulus,response to stress,response to external stimulus,response to biotic stimulus,regulation of biological process",56.0,17.0
GO:0002223,"activation of immune response,regulation of immune system process,positive regulation of immune system process,immune response,cell communication,signal transduction,regulation of cellular process,cellular response to stimulus,response to other organism,positive regulation of response to stimulus,positive regulation of biological process,regulation of response to stimulus,response to stress,response to external stimulus,response to biotic stimulus,regulation of biological process",54.0,16.0
GO:0002224,"regulation of immune system process,immune response,cell communication,signal transduction,regulation of cellular process,cellular response to stimulus,regulation of response to stimulus,regulation of biological process",3697.0,730.0
GO:0002227,"immune response,response to other organism,response to stress,response to external stimulus,response to biotic stimulus",1991.0,381.0
GO:0002230,"regulation of immune system process,immune response,response to other organism,regulation of response to stimulus,response to stress,response to external stimulus,response to biotic stimulus,regulation of biological process",3721.0,732.0
GO:0002232,"leukocyte migration,movement of cell or subcellular component,localization of cell,cellular response to stimulus,taxis,cell motility,response to stress,response to external stimulus,response to chemical",2097.0,409.0
GO:0002244,"immune system development,cellular developmental process,multicellular organism development,anatomical structure development",2002.0,386.0
GO:0002262,regulation of biological quality,3607.0,707.0
GO:0002281,"immune effector process,immune response,leukocyte activation,cell activation",1801.0,366.0
GO:0002286,"immune effector process,immune response,leukocyte activation,cell activation",1801.0,366.0
GO:0002323,"immune effector process,immune response,leukocyte activation,cell activation",1801.0,366.0
GO:0002357,"response to stress,response to biotic stimulus",4238.0,807.0
GO:0002376,907,907.0,907.0
GO:0002377,"production of molecular mediator of immune response,organic substance metabolic process",3593.0,703.0
GO:0002381,"immune effector process,production of molecular mediator of immune response,immune response,organic substance metabolic process",1831.0,368.0
GO:0002407,"leukocyte migration,movement of cell or subcellular component,localization of cell,cellular response to stimulus,taxis,cell motility,response to external stimulus,response to chemical",2096.0,408.0
GO:0002430,"activation of immune response,regulation of immune system process,positive regulation of immune system process,immune response,cell communication,signal transduction,regulation of cellular process,cellular response to stimulus,positive regulation of response to stimulus,positive regulation of biological process,regulation of response to stimulus,regulation of biological process",52.0,15.0
GO:0002437,"immune response,response to stress",1994.0,383.0
GO:0002456,"immune effector process,immune response",1792.0,364.0
GO:0002503,"antigen processing and presentation,cellular component organization or biogenesis",115.0,26.0
GO:0002523,"leukocyte migration,movement of cell or subcellular component,localization of cell,cell motility,response to stress",2095.0,407.0
GO:0002526,response to stress,4232.0,805.0
GO:0002548,"leukocyte migration,movement of cell or subcellular component,localization of cell,cellular response to stimulus,taxis,cell motility,response to external stimulus,response to chemical",2096.0,408.0
GO:0002639,"immune effector process,production of molecular mediator of immune response,regulation of immune system process,positive regulation of immune system process,positive regulation of metabolic process,regulation of metabolic process,organic substance metabolic process,positive regulation of biological process,regulation of biological process",1867.0,371.0
GO:0002675,"positive regulation of response to stimulus,positive regulation of biological process,regulation of response to stimulus,response to stress,response to external stimulus,regulation of biological process",3569.0,698.0
GO:0002682,regulation of biological process,3605.0,706.0
GO:0002687,"regulation of immune system process,positive regulation of immune system process,leukocyte migration,movement of cell or subcellular component,positive regulation of cellular process,regulation of cellular process,localization of cell,regulation of locomotion,positive regulation of locomotion,cell motility,regulation of localization,positive regulation of biological process,regulation of biological process",3801.0,754.0
GO:0002690,"regulation of immune system process,positive regulation of immune system process,leukocyte migration,movement of cell or subcellular component,positive regulation of cellular process,regulation of cellular process,localization of cell,cellular response to stimulus,regulation of locomotion,positive regulation of locomotion,taxis,cell motility,positive regulation of response to stimulus,regulation of localization,positive regulation of biological process,regulation of response to stimulus,response to external stimulus,response to chemical,regulation of biological process",3800.0,753.0
GO:0002720,"immune effector process,production of molecular mediator of immune response,regulation of immune system process,positive regulation of immune system process,immune response,positive regulation of metabolic process,regulation of metabolic process,organic substance metabolic process,cytokine production,regulation of multicellular organismal process,positive regulation of multicellular organismal process,positive regulation of biological process,regulation of biological process",1858.0,369.0
GO:0002726,"immune effector process,production of molecular mediator of immune response,regulation of immune system process,positive regulation of immune system process,immune response,positive regulation of metabolic process,regulation of metabolic process,organic substance metabolic process,cytokine production,regulation of multicellular organismal process,positive regulation of multicellular organismal process,positive regulation of response to stimulus,positive regulation of biological process,regulation of response to stimulus,regulation of biological process",1859.0,370.0
GO:0002755,"regulation of immune system process,immune response,cell communication,signal transduction,regulation of cellular process,cellular response to stimulus,regulation of response to stimulus,regulation of biological process",3697.0,730.0
GO:0002819,"regulation of immune system process,immune response,regulation of response to stimulus,regulation of biological process",3717.0,731.0
GO:0002827,"regulation of immune system process,positive regulation of immune system process,immune response,positive regulation of response to stimulus,positive regulation of biological process,regulation of response to stimulus,regulation of biological process",3786.0,746.0
GO:0002862,"regulation of immune system process,negative regulation of immune system process,immune response,negative regulation of response to stimulus,negative regulation of biological process,regulation of response to stimulus,response to stress,response to external stimulus,regulation of biological process",3753.0,739.0
GO:0002931,response to stress,4232.0,805.0
GO:0003007,"multicellular organism development,anatomical structure morphogenesis,anatomical structure development",2464.0,471.0
GO:0003009,"system process,multicellular organismal movement",4613.0,840.0
GO:0003016,"system process,respiratory gaseous exchange by respiratory system",4672.0,851.0
GO:0003073,"system process,regulation of biological quality",4622.0,842.0
GO:0003084,"system process,regulation of biological quality",4622.0,842.0
GO:0003085,"system process,regulation of biological quality",4622.0,842.0
GO:0003091,"system process,multicellular organismal homeostasis,regulation of biological quality",4609.0,839.0
GO:0003094,system process,4578.0,834.0
GO:0003139,"multicellular organism development,pattern specification process,anatomical structure morphogenesis,anatomical structure formation involved in morphogenesis,anatomical structure development",2530.0,481.0
GO:0003148,"multicellular organism development,anatomical structure morphogenesis,anatomical structure development",2464.0,471.0
GO:0003151,"multicellular organism development,anatomical structure morphogenesis,anatomical structure development",2464.0,471.0
GO:0003161,"multicellular organism development,anatomical structure development",2451.0,469.0
GO:0003180,"multicellular organism development,anatomical structure morphogenesis,anatomical structure development",2464.0,471.0
GO:0003181,"multicellular organism development,anatomical structure morphogenesis,anatomical structure development",2464.0,471.0
GO:0003184,"multicellular organism development,anatomical structure morphogenesis,anatomical structure development",2464.0,471.0
GO:0003198,"cellular developmental process,multicellular organism development,anatomical structure morphogenesis,anatomical structure formation involved in morphogenesis,anatomical structure development",1408.0,266.0
GO:0003203,"multicellular organism development,anatomical structure morphogenesis,anatomical structure development",2464.0,471.0
GO:0003214,"multicellular organism development,anatomical structure morphogenesis,anatomical structure development",2464.0,471.0
GO:0003215,"multicellular organism development,anatomical structure morphogenesis,anatomical structure development",2464.0,471.0
GO:0003222,"multicellular organism development,anatomical structure morphogenesis,anatomical structure development",2464.0,471.0
GO:0003272,"multicellular organism development,anatomical structure morphogenesis,anatomical structure formation involved in morphogenesis,anatomical structure development",2471.0,472.0
GO:0003281,"multicellular organism development,anatomical structure development",2451.0,469.0
GO:0003300,system process,4578.0,834.0
GO:0003323,"cellular developmental process,multicellular organism development,anatomical structure development",1405.0,264.0
GO:0003333,"transmembrane transport,establishment of localization",4725.0,863.0
GO:0003334,"cellular developmental process,multicellular organism development,anatomical structure development",1405.0,264.0
GO:0003341,"movement of cell or subcellular component,microtubule-based process",2343.0,450.0
GO:0003351,"movement of cell or subcellular component,microtubule-based process,establishment of localization",2353.0,453.0
GO:0003376,"cell communication,signal transduction,regulation of cellular process,cellular response to stimulus,regulation of biological process",966.0,158.0
